gene_name	transcript_id	halflife	FPKM
NXPE1	NM_152315	N.D.	0
NXPE2	NM_182495	N.D.	0.0173703
NXPE3	NM_145037	3.45 	5.40892
NXPE4	NM_017678	N.D.	0
NXPH1	NM_152745	N.D.	0
NXPH2	NM_007226	N.D.	0.0106014
NXPH3	NM_007225	N.D.	1.44234
NXPH4	NM_007224	>24	7.31879
NXT1	NM_013248	2.22 	7.73569
NXT2	NM_018698	15.60 	3.25881
NYAP1	NM_173564	N.D.	0.0934179
NYX	NM_022567	N.D.	0
OAF	NM_178507	10.22 	64.2257
OARD1	NM_145063	3.13 	6.82141
OAS1	NM_001032409	N.D.	0.954217
OAS1	NM_016816	N.D.	0.954217
OAS1	NM_002534	N.D.	0.954217
OAS2	NM_016817	N.D.	3.27032
OAS2	NM_001032731	N.D.	3.27032
OAS2	NM_002535	N.D.	3.27032
OAS3	NM_006187	11.77 	1.82461
OASL	NM_003733	5.33 	0.0713563
OASL	NM_198213	5.33 	0.0713563
OAT	NM_000274	>24	59.636
OAZ1	NM_004152	>24	661.051
OAZ2	NM_002537	7.64 	51.8547
OAZ3	NM_016178	N.D.	0.791441
OBFC1	NM_024928	3.23 	1.79776
OBP2A	NM_014582	N.D.	0
OBP2B	NM_014581	N.D.	0
OBSCN	NM_052843	3.28 	0.538512
OCA2	NM_000275	N.D.	0.0117745
OCEL1	NM_024578	7.17 	7.90665
OCIAD1	NM_017830	11.62 	39.2549
OCIAD2	NM_001014446	>24	20.0146
OCIAD2	NM_152398	>24	20.0146
OCLM	NM_022375	N.D.	0.168403
OCM2	NM_006188	N.D.	0
OCRL	NM_000276	7.62 	10.657
OCRL	NM_001587	7.62 	10.657
ODAM	NM_017855	18.00 	0
ODC1	NM_002539	16.85 	35.3352
ODF1	NM_024410	N.D.	0
ODF2	NM_153437	10.36 	6.64349
ODF2	NM_002540	10.36 	6.64349
ODF2L	NM_020729	2.78 	2.60661
ODF2L	NM_001007022	2.78 	2.60661
ODF3	NM_053280	N.D.	0
ODF3B	NM_001014440	N.D.	1.33718
ODF3L1	NM_175881	N.D.	0.116927
ODF3L2	NM_182577	N.D.	0.0647389
ODF4	NM_153007	N.D.	0
OFD1	NM_003611	3.03 	2.75787
OGDH	NM_002541	8.80 	19.7259
OGDH	NM_001003941	8.80 	19.7259
OGDHL	NM_018245	2.41 	0.177256
OGFOD1	NM_018233	4.97 	12.7525
OGFOD2	NM_024623	2.41 	4.29293
OGFOD3	NM_024648	8.35 	9.80936
OGFOD3	NM_175902	8.35 	9.80936
OGFR	NM_007346	2.99 	25.2745
OGFRL1	NM_024576	6.17 	5.93761
OGG1	NM_016819	6.29 	7.35424
OGG1	NM_016821	6.29 	7.35424
OGG1	NM_016820	6.29 	7.35424
OGG1	NM_016829	6.29 	7.35424
OGG1	NM_016826	6.29 	7.35424
OGG1	NM_016827	6.29 	7.35424
OGG1	NM_016828	6.29 	7.35424
OGG1	NM_002542	6.29 	7.35424
OGN	NM_033014	N.D.	0.0674532
OGN	NM_014057	N.D.	0.0674532
OGT	NM_181672	4.62 	20.9305
OGT	NM_181673	4.62 	20.9305
OIP5	NM_007280	10.13 	0.692479
OIT3	NM_152635	N.D.	0.0159911
OLA1	NM_013341	10.15 	5.02828
OLA1	NM_001011708	10.15 	5.02828
OLAH	NM_001039702	N.D.	0.0188862
OLAH	NM_018324	N.D.	0.0188862
OLFM1	NM_014279	6.73 	0.86582
OLFM1	NM_006334	6.73 	0.86582
OLFM2	NM_058164	6.45 	8.32057
OLFM3	NM_058170	N.D.	0
OLFM4	NM_006418	N.D.	2.25272
OLFML1	NM_198474	N.D.	1.83714
OLFML2A	NM_182487	15.00 	5.13171
OLFML2B	NM_015441	N.D.	2.42115
OLFML3	NM_020190	N.D.	65.3364
OLIG1	NM_138983	N.D.	0
OLIG2	NM_005806	N.D.	0
OLIG3	NM_175747	N.D.	0
OLR1	NM_002543	N.D.	3.01614
OMA1	NM_145243	9.05 	5.81183
OMD	NM_005014	N.D.	0.26717
OMG	NM_002544	N.D.	0.0163645
OMP	NM_006189	N.D.	0
ONECUT1	NM_004498	N.D.	0.0214093
ONECUT2	NM_004852	2.99 	0.00344193
OPA1	NM_130832	3.51 	7.2191
OPA1	NM_130834	3.51 	7.2191
OPA1	NM_130836	3.51 	7.2191
OPA1	NM_130831	3.51 	7.2191
OPA1	NM_130837	3.51 	7.2191
OPA1	NM_130835	3.51 	7.2191
OPA1	NM_015560	3.51 	7.2191
OPA1	NM_130833	3.51 	7.2191
OPA3	NM_001017989	3.13 	4.85962
OPA3	NM_025136	3.13 	4.85962
OPALIN	NM_001040102	N.D.	0
OPALIN	NM_033207	N.D.	0
OPALIN	NM_001040103	N.D.	0
OPCML	NM_002545	N.D.	0.0373562
OPCML	NM_001012393	N.D.	0.0373562
OPHN1	NM_002547	3.85 	0.805938
OPLAH	NM_017570	3.33 	4.73576
OPN1LW	NM_020061	N.D.	0
OPN1SW	NM_001708	12.00 	0
OPN3	NM_014322	4.60 	14.7424
OPN4	NM_033282	N.D.	0
OPN4	NM_001030015	N.D.	0
OPN5	NM_181744	N.D.	0
OPRD1	NM_000911	N.D.	0
OPRK1	NM_000912	N.D.	0
OPRL1	NM_182647	N.D.	0.90718
OPRL1	NM_000913	N.D.	0.90718
OPRM1	NM_000914	N.D.	0
OPRM1	NM_001008504	N.D.	0
OPRM1	NM_001008505	N.D.	0
OPRM1	NM_001008503	N.D.	0
OPTC	NM_014359	N.D.	0.0320288
OPTN	NM_001008212	10.61 	51.4011
OPTN	NM_001008213	10.61 	51.4011
OPTN	NM_001008211	10.61 	51.4011
OPTN	NM_021980	10.61 	51.4011
OR10A2	NM_001004460	N.D.	0
OR10A3	NM_001003745	N.D.	0
OR10A4	NM_207186	N.D.	0
OR10A5	NM_178168	N.D.	0
OR10A6	NM_001004461	N.D.	0.081262
OR10A7	NM_001005280	N.D.	0
OR10AD1	NM_001004134	N.D.	0
OR10AG1	NM_001005491	N.D.	0
OR10G2	NM_001005466	N.D.	0
OR10G3	NM_001005465	N.D.	0
OR10G4	NM_001004462	N.D.	0
OR10G7	NM_001004463	N.D.	0
OR10G8	NM_001004464	N.D.	0
OR10G9	NM_001001953	N.D.	0
OR10H1	NM_013940	N.D.	0
OR10H2	NM_013939	N.D.	0
OR10H3	NM_013938	N.D.	0
OR10H4	NM_001004465	N.D.	0
OR10H5	NM_001004466	N.D.	0
OR10J1	NM_012351	N.D.	0
OR10J3	NM_001004467	N.D.	0
OR10J5	NM_001004469	N.D.	0
OR10K1	NM_001004473	N.D.	0
OR10K2	NM_001004476	N.D.	0
OR10P1	NM_206899	N.D.	0
OR10Q1	NM_001004471	N.D.	0
OR10R2	NM_001004472	N.D.	0
OR10S1	NM_001004474	N.D.	0
OR10T2	NM_001004475	N.D.	0
OR10V1	NM_001005324	N.D.	0
OR10W1	NM_207374	N.D.	0
OR10X1	NM_001004477	N.D.	0
OR10Z1	NM_001004478	N.D.	0
OR11G2	NM_001005503	N.D.	0
OR11H1	NM_001005239	N.D.	0
OR11H12	NM_001013354	N.D.	0
OR11H4	NM_001004479	N.D.	0
OR11H6	NM_001004480	N.D.	0
OR11L1	NM_001001959	N.D.	0
OR13A1	NM_001004297	N.D.	0
OR13C2	NM_001004481	N.D.	0
OR13C3	NM_001001961	N.D.	0
OR13C4	NM_001001919	N.D.	0
OR13C5	NM_001004482	N.D.	0
OR13C8	NM_001004483	N.D.	0
OR13C9	NM_001001956	N.D.	0
OR13D1	NM_001004484	N.D.	0
OR13F1	NM_001004485	N.D.	0
OR13G1	NM_001005487	N.D.	0
OR13H1	NM_001004486	N.D.	0
OR13J1	NM_001004487	N.D.	0
OR14A16	NM_001001966	N.D.	0
OR14C36	NM_001001918	N.D.	0
OR14I1	NM_001004734	N.D.	0
OR1A1	NM_014565	N.D.	0
OR1A2	NM_012352	N.D.	0
OR1B1	NM_001004450	N.D.	0
OR1C1	NM_012353	N.D.	0
OR1D2	NM_002548	N.D.	0
OR1D5	NM_014566	N.D.	0
OR1E1	NM_003553	N.D.	0
OR1E2	NM_003554	N.D.	0
OR1F1	NM_012360	N.D.	0
OR1G1	NM_003555	N.D.	0
OR1I1	NM_001004713	N.D.	0
OR1J1	NM_001004451	N.D.	0
OR1J2	NM_054107	N.D.	0.0519342
OR1J4	NM_001004452	N.D.	0.206903
OR1K1	NM_080859	N.D.	0
OR1L1	NM_001005236	N.D.	0
OR1L3	NM_001005234	N.D.	0
OR1L4	NM_001005235	N.D.	0
OR1L6	NM_001004453	N.D.	0
OR1L8	NM_001004454	N.D.	0
OR1M1	NM_001004456	N.D.	0
OR1N1	NM_012363	N.D.	0
OR1N2	NM_001004457	N.D.	0
OR1Q1	NM_012364	N.D.	0.425045
OR1S1	NM_001004458	N.D.	0
OR1S2	NM_001004459	N.D.	0
OR2A12	NM_001004135	N.D.	0
OR2A14	NM_001001659	N.D.	0
OR2A2	NM_001005480	N.D.	0
OR2A25	NM_001004488	N.D.	0
OR2A4	NM_030908	N.D.	0
OR2A5	NM_012365	N.D.	0
OR2A7	NM_001005328	N.D.	0.0498043
OR2AE1	NM_001005276	N.D.	0
OR2AG1	NM_001004489	N.D.	0
OR2AG2	NM_001004490	N.D.	0
OR2AK2	NM_001004491	N.D.	0
OR2AT4	NM_001005285	N.D.	0
OR2B11	NM_001004492	N.D.	0
OR2B2	NM_033057	N.D.	0
OR2B6	NM_012367	N.D.	0
OR2C1	NM_012368	N.D.	0.0946908
OR2C3	NM_198074	N.D.	0
OR2D2	NM_003700	N.D.	0
OR2D3	NM_001004684	N.D.	0
OR2F1	NM_012369	N.D.	0
OR2F2	NM_001004685	N.D.	0
OR2G2	NM_001001915	N.D.	0
OR2G3	NM_001001914	N.D.	0
OR2G6	NM_001013355	N.D.	0
OR2J2	NM_030905	N.D.	0
OR2J2	NM_030905	N.D.	0
OR2J2	NM_030905	N.D.	0
OR2J2	NM_030905	N.D.	0
OR2J2	NM_030905	N.D.	0
OR2J2	NM_030905	N.D.	0
OR2J2	NM_030905	N.D.	0
OR2J2	NM_030905	N.D.	0
OR2K2	NM_205859	N.D.	0
OR2L13	NM_175911	N.D.	0
OR2L2	NM_001004686	N.D.	0
OR2L3	NM_001004687	N.D.	0
OR2L8	NM_001001963	N.D.	0
OR2M2	NM_001004688	N.D.	0
OR2M3	NM_001004689	N.D.	0
OR2M4	NM_017504	N.D.	0
OR2M5	NM_001004690	N.D.	0
OR2M7	NM_001004691	N.D.	0
OR2S2	NM_019897	N.D.	0
OR2T1	NM_030904	N.D.	0
OR2T10	NM_001004693	N.D.	0
OR2T11	NM_001001964	N.D.	0
OR2T12	NM_001004692	N.D.	0
OR2T2	NM_001004136	N.D.	0
OR2T27	NM_001001824	N.D.	0
OR2T29	NM_001004694	N.D.	0
OR2T3	NM_001005495	N.D.	0
OR2T33	NM_001004695	N.D.	0
OR2T34	NM_001001821	N.D.	0
OR2T35	NM_001001827	N.D.	0
OR2T4	NM_001004696	N.D.	0
OR2T5	NM_001004697	N.D.	0
OR2T6	NM_001005471	N.D.	0
OR2T8	NM_001005522	N.D.	0
OR2V2	NM_206880	N.D.	0
OR2W3	NM_001001957	N.D.	0.0589464
OR2W5	NM_001004698	N.D.	0
OR2Y1	NM_001001657	N.D.	0
OR2Z1	NM_001004699	N.D.	0
OR3A1	NM_002550	N.D.	0
OR3A2	NM_002551	N.D.	0
OR3A3	NM_012373	N.D.	0
OR4A15	NM_001005275	N.D.	0
OR4A16	NM_001005274	N.D.	0
OR4A47	NM_001005512	N.D.	0
OR4A5	NM_001005272	N.D.	0
OR4B1	NM_001005470	N.D.	0
OR4C11	NM_001004700	N.D.	0
OR4C12	NM_001005270	N.D.	0
OR4C13	NM_001001955	N.D.	0
OR4C15	NM_001001920	N.D.	0
OR4C16	NM_001004701	N.D.	0
OR4C3	NM_001004702	N.D.	0
OR4C46	NM_001004703	N.D.	0
OR4C6	NM_001004704	N.D.	0
OR4D1	NM_012374	N.D.	0
OR4D10	NM_001004705	N.D.	0
OR4D11	NM_001004706	N.D.	0
OR4D2	NM_001004707	N.D.	0
OR4D5	NM_001001965	N.D.	0
OR4D6	NM_001004708	N.D.	0
OR4D9	NM_001004711	N.D.	0
OR4E2	NM_001001912	N.D.	0
OR4F15	NM_001001674	N.D.	0
OR4F17	NM_001005240	N.D.	0
OR4F21	NM_001005504	N.D.	0
OR4F4	NM_001004195	N.D.	0
OR4F5	NM_001005484	N.D.	0
OR4F6	NM_001005326	N.D.	0
OR4K1	NM_001004063	N.D.	0
OR4K13	NM_001004714	N.D.	0
OR4K14	NM_001004712	N.D.	0
OR4K15	NM_001005486	N.D.	0
OR4K17	NM_001004715	N.D.	0
OR4K2	NM_001005501	N.D.	0
OR4K5	NM_001005483	N.D.	0
OR4L1	NM_001004717	N.D.	0
OR4M1	NM_001005500	N.D.	0
OR4M2	NM_001004719	N.D.	0
OR4N2	NM_001004723	N.D.	0
OR4N4	NM_001005241	N.D.	0
OR4N5	NM_001004724	N.D.	0
OR4P4	NM_001004124	N.D.	0
OR4Q3	NM_172194	N.D.	0
OR4S1	NM_001004725	N.D.	0
OR4S2	NM_001004059	N.D.	0
OR4X1	NM_001004726	N.D.	0
OR4X2	NM_001004727	N.D.	0
OR51A2	NM_001004748	N.D.	0
OR51A4	NM_001005329	N.D.	0
OR51A7	NM_001004749	N.D.	0
OR51B2	NM_033180	N.D.	0
OR51B4	NM_033179	N.D.	0
OR51B5	NM_001005567	N.D.	0
OR51B6	NM_001004750	N.D.	0
OR51D1	NM_001004751	N.D.	0
OR51E1	NM_152430	N.D.	0
OR51E2	NM_030774	N.D.	0
OR51F1	NM_001004752	N.D.	0
OR51F2	NM_001004753	N.D.	0
OR51G1	NM_001005237	N.D.	0
OR51G2	NM_001005238	N.D.	0
OR51I1	NM_001005288	N.D.	0
OR51I2	NM_001004754	N.D.	0
OR51L1	NM_001004755	N.D.	0
OR51M1	NM_001004756	N.D.	0
OR51Q1	NM_001004757	N.D.	0
OR51S1	NM_001004758	N.D.	0
OR51T1	NM_001004759	N.D.	0
OR51V1	NM_001004760	N.D.	0
OR52A1	NM_012375	N.D.	0
OR52A5	NM_001005160	N.D.	0
OR52B2	NM_001004052	N.D.	0
OR52B4	NM_001005161	N.D.	0
OR52B6	NM_001005162	N.D.	0.0518545
OR52D1	NM_001005163	N.D.	0
OR52E2	NM_001005164	N.D.	0
OR52E4	NM_001005165	N.D.	0
OR52E6	NM_001005167	N.D.	0
OR52E8	NM_001005168	N.D.	0
OR52H1	NM_001005289	N.D.	0
OR52I1	NM_001005169	N.D.	0
OR52I2	NM_001005170	N.D.	0
OR52J3	NM_001001916	N.D.	0
OR52K1	NM_001005171	N.D.	0
OR52K2	NM_001005172	N.D.	0
OR52L1	NM_001005173	N.D.	0
OR52M1	NM_001004137	N.D.	0
OR52N1	NM_001001913	N.D.	0
OR52N2	NM_001005174	N.D.	0
OR52N4	NM_001005175	N.D.	0
OR52N5	NM_001001922	N.D.	0
OR52R1	NM_001005177	N.D.	0
OR52W1	NM_001005178	N.D.	0
OR56A1	NM_001001917	N.D.	0
OR56A3	NM_001003443	N.D.	0
OR56A4	NM_001005179	N.D.	0
OR56B1	NM_001005180	N.D.	0
OR56B4	NM_001005181	N.D.	0
OR5A1	NM_001004728	N.D.	0
OR5A2	NM_001001954	N.D.	0
OR5AC2	NM_054106	N.D.	0
OR5AK2	NM_001005323	N.D.	0
OR5AN1	NM_001004729	N.D.	0
OR5AP2	NM_001002925	N.D.	0
OR5AR1	NM_001004730	N.D.	0
OR5AS1	NM_001001921	N.D.	0
OR5AU1	NM_001004731	N.D.	0
OR5B12	NM_001004733	N.D.	0
OR5B17	NM_001005489	N.D.	0
OR5B2	NM_001005566	N.D.	0
OR5B21	NM_001005218	N.D.	0
OR5B3	NM_001005469	N.D.	0
OR5C1	NM_001001923	N.D.	0
OR5D13	NM_001001967	N.D.	0
OR5D14	NM_001004735	N.D.	0
OR5D16	NM_001005496	N.D.	0
OR5D18	NM_001001952	N.D.	0
OR5F1	NM_003697	N.D.	0
OR5H1	NM_001005338	N.D.	0
OR5H14	NM_001005514	N.D.	0
OR5H15	NM_001005515	N.D.	0
OR5H2	NM_001005482	N.D.	0
OR5H6	NM_001005479	N.D.	0
OR5I1	NM_006637	N.D.	0
OR5J2	NM_001005492	N.D.	0
OR5K1	NM_001004736	N.D.	0
OR5K2	NM_001004737	N.D.	0
OR5K3	NM_001005516	N.D.	0
OR5K4	NM_001005517	N.D.	0
OR5L1	NM_001004738	N.D.	0
OR5L2	NM_001004739	N.D.	0
OR5M1	NM_001004740	N.D.	0
OR5M10	NM_001004741	N.D.	0
OR5M11	NM_001005245	N.D.	0
OR5M3	NM_001004742	N.D.	0
OR5M8	NM_001005282	N.D.	0
OR5M9	NM_001004743	N.D.	0
OR5P2	NM_153444	N.D.	0
OR5P3	NM_153445	N.D.	0
OR5R1	NM_001004744	N.D.	0
OR5T1	NM_001004745	N.D.	0
OR5T2	NM_001004746	N.D.	0
OR5T3	NM_001004747	N.D.	0
OR5W2	NM_001001960	N.D.	0
OR6A2	NM_003696	N.D.	0
OR6B1	NM_001005281	N.D.	0
OR6B2	NM_001005853	N.D.	0
OR6B3	NM_173351	N.D.	0
OR6C1	NM_001005182	N.D.	0
OR6C2	NM_054105	N.D.	0
OR6C3	NM_054104	N.D.	0
OR6C4	NM_001005494	N.D.	0
OR6C6	NM_001005493	N.D.	0
OR6C65	NM_001005518	N.D.	0
OR6C68	NM_001005519	N.D.	0
OR6C70	NM_001005499	N.D.	0
OR6C74	NM_001005490	N.D.	0
OR6C75	NM_001005497	N.D.	0
OR6C76	NM_001005183	N.D.	0
OR6F1	NM_001005286	N.D.	0
OR6K2	NM_001005279	N.D.	0
OR6K3	NM_001005327	N.D.	0
OR6K6	NM_001005184	N.D.	0
OR6M1	NM_001005325	N.D.	0
OR6N1	NM_001005185	N.D.	0
OR6N2	NM_001005278	N.D.	0
OR6Q1	NM_001005186	N.D.	0
OR6S1	NM_001001968	N.D.	0
OR6T1	NM_001005187	N.D.	0
OR6V1	NM_001001667	N.D.	0
OR6X1	NM_001005188	N.D.	0
OR6Y1	NM_001005189	N.D.	0
OR7A10	NM_001005190	N.D.	0
OR7A17	NM_030901	N.D.	0
OR7A5	NM_017506	N.D.	0
OR7C1	NM_198944	N.D.	0
OR7C2	NM_012377	N.D.	0
OR7D2	NM_175883	N.D.	0
OR7D4	NM_001005191	N.D.	0
OR7G1	NM_001005192	N.D.	0
OR7G2	NM_001005193	N.D.	0
OR7G3	NM_001001958	N.D.	0
OR8A1	NM_001005194	N.D.	0
OR8B12	NM_001005195	N.D.	0
OR8B2	NM_001005468	N.D.	0
OR8B3	NM_001005467	N.D.	0
OR8B4	NM_001005196	N.D.	0
OR8B8	NM_012378	N.D.	0
OR8D1	NM_001002917	N.D.	0
OR8D2	NM_001002918	N.D.	0
OR8D4	NM_001005197	N.D.	0
OR8G1	NM_001002905	N.D.	0
OR8G2	NM_001007249	N.D.	0
OR8G5	NM_001005198	N.D.	0
OR8H1	NM_001005199	N.D.	0
OR8H2	NM_001005200	N.D.	0
OR8H3	NM_001005201	N.D.	0
OR8I2	NM_001003750	N.D.	0
OR8J1	NM_001005205	N.D.	0
OR8J3	NM_001004064	N.D.	0
OR8K1	NM_001002907	N.D.	0
OR8K3	NM_001005202	N.D.	0
OR8K5	NM_001004058	N.D.	0
OR8S1	NM_001005203	N.D.	0
OR8U1	NM_001005204	N.D.	0
OR9A2	NM_001001658	N.D.	0.0484655
OR9A4	NM_001001656	N.D.	0
OR9G4	NM_001005284	N.D.	0
OR9G9	NM_001013358	N.D.	0
OR9I1	NM_001005211	N.D.	0
OR9K2	NM_001005243	N.D.	0
OR9Q1	NM_001005212	N.D.	0
OR9Q2	NM_001005283	N.D.	0
ORAI1	NM_032790	3.57 	17.4916
ORAI2	NM_032831	4.21 	6.74929
ORAI3	NM_152288	2.30 	31.9243
ORAOV1	NM_153451	2.35 	6.73387
ORC1	NM_004153	5.14 	0.337607
ORC2	NM_006190	3.33 	3.3502
ORC3	NM_012381	8.31 	7.5656
ORC3	NM_181837	8.31 	7.5656
ORC4	NM_181742	3.33 	2.68217
ORC4	NM_181741	3.33 	2.68217
ORC4	NM_002552	3.33 	2.68217
ORC5	NM_002553	3.03 	6.52545
ORC5	NM_181747	3.03 	6.52545
ORC6	NM_014321	4.00 	1.60609
ORM1	NM_000607	N.D.	0
ORM2	NM_000608	N.D.	0
ORMDL1	NM_016467	8.43 	12.5991
ORMDL2	NM_014182	8.21 	11.3843
ORMDL3	NM_139280	4.00 	43.2604
OS9	NM_001017956	>24	141.334
OS9	NM_001017957	>24	141.334
OS9	NM_001017958	>24	141.334
OS9	NM_006812	>24	141.334
OSBP	NM_002556	4.97 	13.3211
OSBP2	NM_030758	3.85 	0.753605
OSBPL10	NM_017784	3.39 	6.07551
OSBPL11	NM_022776	4.97 	2.93262
OSBPL1A	NM_018030	4.00 	21.5759
OSBPL1A	NM_080597	4.00 	21.5759
OSBPL2	NM_144498	3.70 	9.17849
OSBPL2	NM_014835	3.70 	9.17849
OSBPL3	NM_145320	3.08 	10.2433
OSBPL3	NM_145322	3.08 	10.2433
OSBPL3	NM_015550	3.08 	10.2433
OSBPL3	NM_145321	3.08 	10.2433
OSBPL5	NM_145638	3.85 	15.1551
OSBPL5	NM_020896	3.85 	15.1551
OSBPL6	NM_145739	4.00 	0.839761
OSBPL6	NM_032523	4.00 	0.839761
OSBPL7	NM_145798	2.63 	1.91023
OSBPL8	NM_020841	3.45 	13.9253
OSBPL8	NM_001003712	3.45 	13.9253
OSBPL9	NM_024586	9.12 	15.4608
OSBPL9	NM_148906	9.12 	15.4608
OSBPL9	NM_148908	9.12 	15.4608
OSBPL9	NM_148907	9.12 	15.4608
OSBPL9	NM_148909	9.12 	15.4608
OSBPL9	NM_148904	9.12 	15.4608
OSBPL9	NM_148905	9.12 	15.4608
OSCAR	NM_130771	N.D.	0.349902
OSCAR	NM_133169	N.D.	0.349902
OSCAR	NM_133168	N.D.	0.349902
OSCAR	NM_206818	N.D.	0.349902
OSCP1	NM_145047	3.08 	4.29733
OSCP1	NM_206837	3.08 	4.29733
OSGEP	NM_017807	7.53 	8.14676
OSGEPL1	NM_022353	2.63 	1.75669
OSGIN1	NM_182981	2.30 	6.04708
OSGIN2	NM_004337	3.03 	4.6654
OSM	NM_020530	N.D.	0
OSMR	NM_003999	8.15 	23.4126
OSR1	NM_145260	N.D.	4.53213
OSR2	NM_053001	2.11 	144.73
OSTC	NM_021227	>24	103.83
OSTF1	NM_012383	10.46 	15.1317
OSTM1	NM_014028	9.00 	18.9102
OSTN	NM_198184	N.D.	0
OTC	NM_000531	N.D.	0
OTOA	NM_170664	N.D.	0.0132837
OTOA	NM_144672	N.D.	0.0132837
OTOF	NM_194322	N.D.	0.0593089
OTOF	NM_004802	N.D.	0.0593089
OTOF	NM_194248	N.D.	0.0593089
OTOF	NM_194323	N.D.	0.0593089
OTOGL	NM_173591	N.D.	0.0101576
OTOP1	NM_177998	N.D.	0
OTOP2	NM_178160	N.D.	0
OTOP3	NM_178233	N.D.	0
OTOR	NM_020157	N.D.	0
OTOS	NM_148961	N.D.	0
OTP	NM_032109	N.D.	0
OTUB1	NM_017670	11.04 	34.7635
OTUB2	NM_023112	2.56 	0.664963
OTUD4	NM_017493	2.82 	3.97589
OTUD5	NM_017602	10.67 	20.093
OTUD6A	NM_207320	N.D.	0
OTUD6B	NM_016023	3.08 	2.44982
OTUD7A	NM_130901	N.D.	0.0458516
OTUD7B	NM_020205	2.50 	4.91833
OTX1	NM_014562	2.17 	0.0149432
OTX2	NM_021728	N.D.	0.0606278
OTX2	NM_172337	N.D.	0.0606278
OVCA2	NM_080822	6.67 	23.894
OVCH1	NM_183378	N.D.	0.0516147
OVCH2	NM_198185	N.D.	0.172258
OVGP1	NM_002557	N.D.	0.319929
OVOL1	NM_004561	N.D.	0
OVOL2	NM_021220	N.D.	0.0259465
OXA1L	NM_005015	9.47 	53.8639
OXCT1	NM_000436	>24	8.04457
OXCT2	NM_022120	N.D.	0.172577
OXER1	NM_148962	N.D.	0.0299874
OXGR1	NM_080818	N.D.	0
OXLD1	NM_001039842	2.86 	17.7565
OXNAD1	NM_138381	3.51 	0.968149
OXR1	NM_181354	22.11 	6.80241
OXSM	NM_017897	2.35 	4.79187
OXSR1	NM_005109	4.47 	12.7661
OXT	NM_000915	N.D.	0
OXTR	NM_000916	2.63 	105.394
P2RX1	NM_002558	N.D.	0.0262254
P2RX2	NM_170682	N.D.	0
P2RX2	NM_174872	N.D.	0
P2RX2	NM_174873	N.D.	0
P2RX2	NM_012226	N.D.	0
P2RX2	NM_016318	N.D.	0
P2RX2	NM_170683	N.D.	0
P2RX3	NM_002559	N.D.	0
P2RX4	NM_002560	4.00 	8.46283
P2RX5	NM_002561	12.00 	0.691793
P2RX5	NM_175080	12.00 	0.691793
P2RX6	NM_005446	N.D.	0.423417
P2RX7	NM_002562	N.D.	0.809684
P2RY1	NM_002563	N.D.	0.010951
P2RY10	NM_014499	N.D.	0
P2RY10	NM_198333	N.D.	0
P2RY11	NM_002566	8.80 	1.48388
P2RY12	NM_022788	N.D.	0
P2RY12	NM_176876	N.D.	0
P2RY13	NM_176894	N.D.	0
P2RY14	NM_014879	N.D.	0
P2RY2	NM_176071	2.56 	0.050002
P2RY2	NM_002564	2.56 	0.050002
P2RY2	NM_176072	2.56 	0.050002
P2RY4	NM_002565	N.D.	0.0230864
P2RY6	NM_176798	N.D.	0.140514
P2RY6	NM_176797	N.D.	0.140514
P2RY6	NM_176796	N.D.	0.140514
P2RY6	NM_004154	N.D.	0.140514
P4HA1	NM_001017962	>24	55.8224
P4HA1	NM_000917	>24	55.8224
P4HA2	NM_001017973	>24	87.9669
P4HA2	NM_004199	>24	87.9669
P4HA2	NM_001017974	>24	87.9669
P4HA3	NM_182904	3.17 	5.348
P4HTM	NM_177938	3.03 	18.9919
P4HTM	NM_177939	3.03 	18.9919
PA2G4	NM_006191	10.91 	12.7953
PAAF1	NM_025155	8.96 	10.1014
PABPC1	NM_002568	21.60 	188.239
PABPC1L2A	NM_001012977	N.D.	0
PABPC1L2B	NM_001042506	N.D.	0
PABPC3	NM_030979	19.35 	68.461
PABPC4	NM_003819	9.90 	76.4474
PABPC5	NM_080832	N.D.	0.953753
PABPN1	NM_004643	8.80 	17.9711
PACRG	NM_152410	N.D.	0.0505156
PACRGL	NM_145048	3.08 	3.71774
PACS1	NM_018026	7.00 	29.8588
PACS2	NM_015197	3.45 	13.8599
PACSIN1	NM_020804	N.D.	0.0190809
PACSIN2	NM_007229	5.17 	15.3258
PACSIN3	NM_016223	3.45 	15.6786
PADI1	NM_013358	N.D.	0.67805
PADI2	NM_007365	N.D.	0.232033
PADI3	NM_016233	N.D.	0.012248
PADI4	NM_012387	N.D.	0
PADI6	NM_207421	N.D.	0
PAEP	NM_001018049	N.D.	0
PAEP	NM_002571	N.D.	0
PAF1	NM_019088	5.79 	23.722
PAFAH1B1	NM_000430	4.15 	24.6374
PAFAH1B2	NM_002572	5.44 	22.5144
PAFAH1B3	NM_002573	>24	8.16045
PAFAH2	NM_000437	2.90 	5.05933
PAG1	NM_018440	N.D.	1.81288
PAGE1	NM_003785	N.D.	0
PAGE2	NM_207339	N.D.	0
PAGE2B	NM_001015038	N.D.	0
PAGE4	NM_007003	N.D.	0
PAGE5	NM_130467	N.D.	0
PAGE5	NM_001013435	N.D.	0
PAGR1	NM_024516	3.08 	5.37106
PAH	NM_000277	N.D.	0
PAICS	NM_006452	16.47 	12.5987
PAIP1	NM_182789	6.32 	5.59119
PAIP1	NM_183323	6.32 	5.59119
